article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,HPI
1230744,Theodore William Richards,Male,1868,Germantown,PA,United States,North America,40.04361,-75.18194,Chemist,Natural Sciences,Science & Technology,41,228153,5565,23.5149,61.65891908
147343,Sam Cooke,Male,1931,Clarksdale,MS,United States,North America,34.19778,-90.57194,Singer,Music,Arts,29,6123768,211164,23.5146,61.65756249
23725,Peter Falk,Male,1927,New York,NY,United States,North America,40.7127,-74.0059,Actor,Film And Theatre,Arts,44,7123374,161895,23.5143,61.65620591
53360,Cole Porter,Male,1891,Peru,IN,United States,North America,40.75778,-86.06778,Composer,Music,Arts,35,4043755,115536,23.5143,61.65620591
203292,LÃ©on Gambetta,Male,1838,Cahors,,France,Europe,44.4483,1.4414,Politician,Government,Institutions,29,851422,29359,23.5142,61.65575372
9527107,Hassanal Bolkiah,Male,1946,Bandar Seri Begawan,,Brunei Darussalam,Asia,4.89028,114.94222,Politician,Government,Institutions,44,4352959,98931,23.5134,61.65213616
54010,Sophus Lie,Male,1842,Nordfjordeid,,Norway,Europe,61.90611,5.99139,Mathematician,Math,Science & Technology,34,372984,10970,23.5132,61.65123178
189451,Ion Iliescu,Male,1930,OlteniÈ›a,,Romania,Europe,44.08667,26.63667,Politician,Government,Institutions,40,959886,23997,23.5125,61.64806642
614566,Carl Theodor Dreyer,Male,1889,Copenhagen,,Denmark,Europe,55.67611,12.56833,Film Director,Film And Theatre,Arts,28,783863,27995,23.5117,61.64444887
847908,MÃ¡tyÃ¡s RÃ¡kosi,Male,1892,Ada,,Serbia,Europe,45.8,20.13333,Politician,Government,Institutions,34,776016,22824,23.5116,61.64399667
33817491,Saint Sava,Male,1169, Podgorica,,Montenegro,Europe,42.46811,19.26564,Religious Figure,Religion,Institutions,30,952775,31759,23.5111,61.6417357
25169,Quentin Tarantino,Male,1963,Knoxville,TN,United States,North America,35.97278,-83.94222,Film Director,Film And Theatre,Arts,68,41489929,610146,23.5102,61.63766596
486217,Richard Rogers,Male,1933,Florence,,Italy,Europe,43.78333,11.25,Architect,Design,Arts,33,1315238,39856,23.5102,61.63766596
230732,Charles Francis Richter,Male,1900,Overpeck,OH,United States,North America,39.45083,-84.51472,Geologist,Natural Sciences,Science & Technology,43,605990,14093,23.5099,61.63630937
1451639,`Abd Allah ibn `Abbas,Male,620,Mecca,,Saudi Arabia,Asia,21.41667,39.81667,Religious Figure,Religion,Institutions,28,540820,19315,23.5098,61.63585718
323115,Alfred Hermann Fried,Male,1864,Vienna,,Austria,Europe,48.2,16.36667,Social Activist,Activism,Public Figure,36,242963,6749,23.5088,61.63133524
2299066,BÃ©la II of Hungary,Male,1108,Other,,Hungary,Europe,,,Nobleman,Government,Institutions,26,224861,8649,23.508,61.62771769
84317,Ansel Adams,Male,1902,San Francisco-Bay Area,CA,United States,North America,37.78252,-122.42825,Photographer,Fine Arts,Arts,37,4152641,112234,23.5078,61.6268133
1659299,Anton Makarenko,Male,1888,Bilopillia,,Ukraine,Europe,51.14833,34.30083,Writer,Language,Humanities,28,748997,26750,23.5078,61.6268133
24480974,Yun Chi-ho,Male,1865,Chuncheong Province,,South Korea,Asia,36.78333,126.98333,Social Activist,Activism,Public Figure,39,165830,4252,23.5075,61.62545672
187477,Joseph Henry,Male,1797,Albany,NY,United States,North America,42.6525,-73.75722,Physicist,Natural Sciences,Science & Technology,38,934897,24603,23.5073,61.62455233
84864,Edward Thorndike,Male,1874,Williamsburg,MA,United States,North America,42.39306,-72.73056,Psychologist,Social Sciences,Science & Technology,29,1807139,62315,23.5072,61.62410013
33230,Wolfgang Petersen,Male,1941,Emden,,Germany,Europe,53.36694,7.20611,Film Director,Film And Theatre,Arts,30,1623170,54106,23.5067,61.62183916
